Date,Value,tre200b0,ure200b0,rre150b0,sre000b0,fu3010b0,prestab0,tre200b0_mean,ure200b0_mean,rre150b0_mean,sre000b0_mean,fu3010b0_mean,prestab0_mean,Value_sum
2014-05-27,960.0,12.4,89.0,0.0,0.0,7.2,958.2,15.733333333333354,69.4000000000003,5.030698080332741e-16,12.75,8.937500000000009,957.6958333333336,0.0
2014-05-28,480.0,15.8,62.8,0.0,0.0,0.0,956.0,12.445833333333347,83.8875000000003,0.39583333333333376,0.2916666666666667,11.583333333333343,957.2583333333333,0.0
2014-06-01,960.0,5.8,62.6,0.0,0.0,12.2,957.5,3.600000000000001,87.26666666666661,0.3291666666666668,3.75,6.595833333333328,954.4958333333334,0.0
2014-06-02,12.0,5.4,64.5,0.0,0.0,4.7,948.2,2.49583333333334,90.63750000000014,0.02083333333333336,0.041666666666666664,6.779166666666664,947.6499999999995,2400.0
2014-06-05,480.0,17.0,43.3,0.0,0.0,16.2,958.9,11.329166666666692,66.38750000000032,5.065392549852277e-16,31.666666666666668,5.066666666666665,959.6041666666666,1452.0
2014-06-06,480.0,23.3,48.2,0.0,52.0,3.2,959.2,14.950000000000012,65.32916666666695,4.834096086388703e-16,29.916666666666668,6.554166666666674,959.1833333333334,1452.0
2014-06-08,480.0,20.4,63.1,0.0,0.0,5.8,959.9,18.0625,78.22500000000024,0.08333333333333502,10.625,5.779166666666658,962.8291666666664,972.0
2014-06-09,480.0,18.9,73.6,0.0,0.0,6.5,956.9,17.71249999999999,84.5083333333336,0.05000000000000243,7.25,2.624999999999982,958.9,1440.0
2014-06-10,480.0,13.5,88.5,0.0,0.0,9.4,955.1,14.6625,85.53750000000043,0.5375000000000028,23.458333333333332,4.97916666666664,958.7000000000003,1440.0
2014-06-11,480.0,4.9,87.7,0.0,0.0,2.5,957.4,4.179166666666652,92.21666666666687,2.125000000000003,0.0,6.820833333333304,948.0750000000002,1440.0
2014-06-12,480.0,3.5,83.1,0.0,0.0,9.0,963.0,3.3999999999999857,92.28750000000036,0.004166666666669684,0.0,4.229166666666651,959.5375,1440.0
2014-06-15,960.0,18.8,50.0,0.0,14.0,9.7,959.3,17.774999999999995,67.25833333333365,5.181040781584064e-16,24.75,11.941666666666672,959.6208333333329,1440.0
2014-06-16,960.0,19.6,46.2,0.0,14.0,13.3,959.0,17.008333333333333,56.86666666666699,5.181040781584064e-16,16.833333333333332,15.500000000000005,959.6958333333333,1920.0
2014-06-17,480.0,19.2,50.2,0.0,25.0,20.2,958.6,17.79583333333333,54.82500000000032,5.181040781584064e-16,31.791666666666668,11.100000000000009,959.7624999999999,2400.0
2014-06-18,480.0,19.2,58.7,0.0,11.0,7.6,960.0,17.712500000000002,56.67083333333363,5.181040781584064e-16,27.333333333333332,13.60833333333334,959.4666666666666,2400.0
2014-06-19,960.0,21.1,49.2,0.0,6.0,13.7,959.7,17.474999999999994,63.03750000000031,5.181040781584064e-16,28.666666666666668,6.266666666666669,960.3291666666664,1920.0
2014-06-20,480.0,18.6,57.4,0.0,0.0,7.6,960.0,18.179166666666667,63.695833333333645,5.181040781584064e-16,25.625,7.612500000000005,960.9041666666668,1920.0
2014-06-21,480.0,22.2,41.1,0.0,60.0,2.2,959.4,17.84166666666666,62.17500000000032,5.181040781584064e-16,9.125,8.812500000000005,960.1541666666666,1920.0
2014-06-22,480.0,23.2,43.3,0.0,0.0,17.6,961.8,18.287499999999998,54.30833333333363,5.181040781584064e-16,35.958333333333336,5.800000000000007,960.2583333333333,1920.0
2014-06-23,480.0,17.8,83.7,0.0,0.0,4.0,960.3,19.699999999999996,55.40000000000031,5.181040781584064e-16,28.25,6.829166666666674,961.8166666666667,1440.0
2014-06-24,240.0,18.8,69.2,0.0,59.0,5.8,957.3,18.099999999999998,78.48750000000032,0.6208333333333339,18.958333333333332,6.416666666666672,961.7083333333331,1440.0
2014-06-25,480.0,17.1,76.3,7.2,0.0,9.0,956.5,16.291666666666668,84.49166666666694,0.9875000000000007,11.166666666666666,4.962500000000003,959.1,1200.0
2014-06-26,480.0,20.4,52.3,0.0,28.0,1.1,957.2,16.145833333333332,78.72916666666696,0.31250000000000067,18.208333333333332,6.4375000000000036,955.4416666666666,1200.0
2014-06-27,671.0,22.7,46.1,0.0,0.0,4.7,959.1,17.104166666666664,66.2708333333336,0.004166666666667318,26.333333333333332,5.55416666666667,957.3374999999996,1200.0
2014-07-01,779.0,8.7,65.0,0.0,0.0,3.2,962.5,3.6625000000000014,70.85000000000001,9.945747928933694e-17,15.791666666666666,4.062499999999992,958.7666666666669,1631.0
2014-07-04,609.0,15.4,62.2,0.0,0.0,7.9,959.3,12.387500000000015,82.53333333333364,0.004166666666666849,17.5,3.1916666666666575,962.8166666666667,1930.0
2014-07-06,525.0,25.7,50.7,0.0,21.0,6.1,961.0,18.616666666666678,61.3625000000003,4.834096086388703e-16,33.75,3.912500000000007,960.0916666666672,2059.0
2014-07-13,3.0,17.8,75.2,0.0,0.0,14.4,956.0,16.904166666666672,83.56666666666696,0.3750000000000006,10.041666666666666,6.9791666666666545,957.5833333333334,1913.0
2014-07-15,819.0,21.7,56.1,0.0,54.0,0.0,964.4,17.816666666666677,83.50416666666693,0.17083333333333384,16.083333333333332,7.362499999999989,959.9000000000001,1137.0
2014-07-17,1200.0,24.7,55.6,0.0,60.0,3.6,963.2,20.41250000000001,66.94166666666695,4.996003610813204e-16,36.583333333333336,4.220833333333319,964.9083333333334,1347.0
